event,n_produced,n_wall,n_pmt,first_residual_ns
67,1918,1918,0,0.0107189
68,0,0,0,0
69,87327,84953,0,0.160101
70,63241,61987,0,0.263027
71,2974399,2917760,0,0.144893
72,1570616,1501543,0,-0.79745
73,1755163,1720320,0,0.026006
74,6128315,5990532,0,0.0499659
75,19567464,18686599,0,0.0276733
76,16289165,15313094,0,0.163381
77,2400666,2311049,0,0.320124
78,2237195,2142006,0,0.0197364
79,617227,605533,0,0.313859
80,2116632,2051467,0,0.50132
81,186593,183773,0,0.0494369
82,2535762,2408961,0,0.0647338
83,520586,509656,0,0.0532706
84,233977,226046,0,0.264976
85,8362654,8099311,0,0.00251828
86,270773,264589,0,0.013389
87,70225,68809,0,0.0474106
88,1430215,1382839,0,0.197085
89,6719210,6402507,0,0.0196837
90,10392293,9841015,0,0.194396
91,626203,618067,0,0.0973007
92,1168029,1123930,0,0.126529
93,111724,106754,0,0.17106
94,8961596,8736301,0,0.210829
95,1814132,1760215,0,0.140757
96,1518503,1444764,0,0.221606
97,2069599,2015607,0,-0.106754
98,125645,119810,0,0.0737485
99,24772776,23683373,0,10.1315
100,2217645,2113794,0,0.632162
101,256717,244355,0,0.262388
102,334940,331084,0,0.0652426
103,89827,86636,0,0.095907
104,10104634,9838678,0,0.153522
105,12899662,12392352,0,0.146214
106,235247,224865,0,0.0110041
107,13722872,13429290,0,0.775257
108,23815790,22347962,0,0.232311
109,4316736,4186546,0,0.05736
110,5157490,5016401,0,0.441902
111,1099415,1050895,0,0.036566
112,1400272,1352427,0,0.2642
113,84268,83054,0,-0.0128787
114,464056,457323,0,0.12165
115,4203360,4083340,0,0.140417
116,1134393,1108320,0,0.24479
117,125000,121076,0,0.122702
118,833578,805624,0,0.0771036
119,19727,19564,0,0.0492989
120,12632857,11899034,0,0.0677207
121,101122,99954,0,0.157029
122,1182557,1159597,0,0.219743
123,2225793,2137005,0,1.02814
124,1147941,1120745,0,0.369302
125,4673,4667,0,0.0134724
126,2428810,2342805,0,0.471002
127,424450,406909,0,0.0234209
128,4101,4072,0,0.0726387
129,4815039,4687268,0,0.333609
130,187952,186386,0,0.0364239
131,29940,29769,0,0.0418336
132,4880675,4792689,0,0.239503
133,381102,366461,0,-0.332631
134,73130,72153,0,0.0407817
135,8651991,8148104,0,0.0119796
136,1055941,1020631,0,0.275831
137,3115244,3019452,0,0.0561856
138,33805,32304,0,0.0943463
